Case title,Jurisdiction of Origin,UNCAC Offenses Implicated,Money laundering Implicated,Legal Basis for Asset Recovery,Contributing Factors in Asset Recovery,Assets Adjudicated/Not Yet Returned (USD),Case Summary,Disposition of Criminal Case(s)
Alfonso Portillo (United States),Comision Internacional Contra la Impunidad en Guatemala (International Commission Against Impunity in Guatemala),"Art.16, Art.23",Yes,Criminal Prosecution and Forfeiture,Ongoing Case,Consent Preliminary Order of Forfeiture,"As part of his plea agreement, Mr. Portillo admitted that while serving as President of Guatemala, he had received US$2.5 million from the government of China, Taiwan purportedly for the ""Libraries for Peace"" project but was in exchange for Guatemala's continued recognition of China, Taiwan's sovereignty.  (Source: US v. Portillo, Case No. 1:09-cr-01142-RPP (S.D.N.Y.), Judgment in a criminal case filed June 11, 2014 and US Government Sentencing Memorandum filed May 12, 2014.)   The 2009 indictment filed by the U.S. Attorney for the Southern District of New York  alleged that the criminal proceeds had been laundered through a complex scheme involving close associates and family members and shell entities, involving banks in Florida and New York (as well those in England, France, Luxembourg, and Switzerland).  (Source: U.S. v. Portillo, Case No. 1:09-cr-01142-RPP (S.D.N.Y.), Indictment filed December 1, 2009 and unsealed on January 25, 2010.)  According to a US Department of State press briefing transcript of November 11, 2011, the US spokesman stated that ""We understand that President Colom has upheld the Guatemalan Constitutional Court’s August 26 decision that authorized the extradition of former President Alfonso Portillo to the United States on charges of conspiracy to commit money-laundering.""  (Source: US Department of State Daily Press Briefing transcript, "" U.S. Extradition Request for Former President Alfonso Portillo,"" November 17, 2011, filed May 10, 2012 in US v. Portillo, 1:09-cr-01142 (SDNY), accessed via PACER.)  In May 2010, the US federal court for Southern District of New York denied Mr. Portillo's habeas petition which had challenged his custody in Guatemala based on the US extradition request.  (Source: US v. Portillo, Case No. 1:09-cr-01142 (SDNY), Opinion and Order filed May 10, 2012.) After the Indictment was unsealed, in 2010, Mr. Portillo was arrested in Guatemala, and detained pending his extradition to the United States.  In May 2013, he was extradited to the United States and remanded into custody.  (Source:  US v. Portillo, 1:09-cr-1142 (SDNY), Order of Remand May 28, 2013).","According to the US court records, Mr. Portillo pleaded guilty to one count of conspiracy to commit money laundering in the United States District Court for the Southern District of New York; in June 2014, he was sentenced to 70 months' imprisonment.  (Source: US v. Portillo, Case No. 1:09-cr-01142-RPP (S.D.N.Y.), Judgment in a Criminal Case, filed June 11, 2014)"
Aluminum Bahrain B.S.C. / Alcoa Case (Private Civil Action),,"Art.16, Art.18, Art.21",Yes,Private Civil Action ,Private civil action resulted in settlement agreement.,,"In October 2012, Alcoa Inc. announced that it had reached an $85 million settlement agreement with Aluminum Bahrain B.S.C. (""Alba""), a majority state owned enterprise to settle the civil suit that Alba had filed in 2008, in U.S. District Court for the Western District of Pennsylvania against the U.S. company and related parties. (Source: Aluminum Bahrain B.S.C. v. Alcoa, Inc., et al, Case No. 2:08-cv-00299-DWA (W.D. Pa.), Stipulation of Dismissal with Prejudice, filed October 9, 2012; Alcoa Press Release, ""Alcoa and Alba Resolve Civil Litigation,"" October 9, 2012.) In 2009, it filed a similar suit in the Southern District of Texas against the Japanese company Sojitz Corporation and its U.S. affiliate, Sojitz Corporation of America. Alba alleged that the companies paid bribes to one or more senior officials of Alba and the Government of Bahrain in order to induce Alba to cede a controlling interest in that company to Alcoa and to overpay for alumina and in the Sojitz case, to secure below-market discounts on aluminum. In filing the civil Racketeer Influenced and Corrupt Organizations (RICO) suit against Alcoa, Alba sought damages in excess of $1 billion and in the Sojitz suit, $31 million in damages. According to Alcoa, the second of the two payments to Alba was completed in October 2013. (Source: Alcoa, Stakeholder Engagement, ""Committed to Ongoing, Transparent Engagement,"" http://www.alcoa.com/sustainability/en/info_page/community_stakeholder.asp, accessed on July 27, 2014.)","The asset recovery resulted from a private civil action by the state owned entity.  In related enforcement actions by the US, in January 2014, Alcoa entered into settlements with the US Department of Justice and the Securities and Exchange Commission which included a guilty plea to one count of violation of the Foreign Corrupt Practices Act. (Source: US Department of Justice Press Release, ""Alcoa World Alumina Agrees to Plead Guilty to Foreign Bribery and Pay $223 Million in Fines and Forfeiture,"" January 9, 2014.)"
Angolagate,,"Art.16, Art.23",Yes,Other,"A monitoring solution for repatriated assets, involving Swiss bilateral aid channels was agreed upon with the administrative costs and fiduciary responsibilities borne by the Swiss Agency for Development and Cooperation (SDC) and implementation unit comprised of  SDC and Angolan representatives (Source: Ann Lugon-Moulin, ""Asset Recovery: Concrete Challenges for Development Assistance,"" in Mark Pieth, ed., Recovering Stolen Assets (Peter Lang, 2008).  ",,"
	On December 17, 2012, the Swiss Federal Department of Foreign Affairs announced that Switzerland and Angola signed an agreement, whereby Switzerland will return $43 million (SFr39.5 million) in frozen assets to Angola. According to the press release from the Swiss Agency for Development and Cooperation, the backdrop to the restitution are judicial proceedings of the Geneva judicial authorities regarding alleged money laundering, which at the end of 2008 led to the confiscation of the assets now to be restituted. The money will be used to fund development projects that directly benefit the population of Angola. (Source: Swiss Agency for Development and Cooperation Press Release, December 17, 2012.)  According to the terms of the agreement, Switzerland and Angola will implement the agreement jointly. The Swiss Agency for Development and Cooperation (SDC) will be responsible for its implementation on behalf of Switzerland, and the funds will benefit similar purposes as the first asset return. (Source:  Gretta Fenner Zinkernagel and Kodjo Attisso, International Centre for Asset Recovery, “Returning Stolen Assets - Learning from past practice: Selected case studies” [2013]). 

	 

	In 2005, Switzerland and Angola signed an agreement to return $21 million to Angola. The funds were allocated to humanitarian projects in Angola, and monitored by the Swiss Development and Co-operation Agency (which is part of the Swiss Ministry of Foreign Affairs). Eligible projects include reconstruction, health and sanitation units, improvement of public utilities and assistance to displaced populations. (Source: Paul Gully Hart, ""International asset recovery of corruption-related assets: Switzerland,"" in Mark Pieth ed., Recovering Stolen Assets (2008). According to the Social and Humanitarian Programme's website, $4.2 million had been allocated for vocational training in two provinces and other (unspecified) sums for a mine clearance project and agricultural development. (Source: SHP Programme, ""The reached results so far,"" accessed at http://www.psh-angola.net/en/Home/Projects.). Please see also, Swiss Federal Department of Foreign Affairs, ""Angolan-Swiss Socio-humanitarian Programme (SHP): Priorities,"" at http://www.ddc.admin.ch/en/Home/Countries/Eastern_and_Central_Africa/Ang...","According to the press release by the Swiss Agency for Development and Cooperation, unspecified ""criminal proceedings initiated by the Geneva judicial authorities were done so in connection with the restructuring of the Angolan debt to the Russian Federation.:  (Source:  Swiss Agency for Development and Cooperation, ""Switzerland and Angola sign agreement on the return of Angolan funds currently blocked in Switzerland to benefit humanitarian projects,"" November 1, 2005, accessed at http://www.deza.admin.ch/en/Home/News/Close_up?itemID=21008.)"
"Ao Man Long (Hong Kong SAR, China)",Commission Against Corruption of Macao SAR,"Art.16, Art.18, Art.19, Art.20, Art.23",Yes,Private Civil Action ,The discrepancy between asset declarations filed by Mr. Ao and his wife as public officials and their assets was used as evidence against them.  Search of Mr. Ao's government-provided residence yielded a notebook containing details of his illegal bank accounts. (Source: Statements by the Commission Against Corruption in Macao SAR posted on its website.),,"According to a public statement by the Macau Public Prosecution Office, US$56,755,400 has been recovered from Hong Kong SAR from bank accounts held in the names of inidividuals and companies of Mr. Ao and his family members.  (Source: ""The Public Prosecution Office has retrieved over HK$80,000,000 for the Macao SAR in the Ao Man Long case,"" December 15, 2014, at http://www.mp.gov.mo/en/news/2014/news20141215en.pdf)
According to Professor Simon N. M. Young of Hong Kong University Law School, due to an absence of a Mutual Legal Assistance Treaty between Macao and Hong Kong, Macao filed a civil suit to recover Mr. Ao's illicit assets from Hong Kong, SAR.  (Source: Simon N.M. Young, ""Why civil actions against corruption,"" Journal of Financial Crime, Vol. 16, No. 2 (2009), pp. 144-159.)  Commission Against Corruption in Macao SAR stated on its website (February 5, 2009) that the Hong Kong High Court held the first hearing on February 4, 2009 concerning the recovery of the bribe money - HKD140 million deposited in 39 bank accounts and HKD80 million cash in different currencies kept in a safety deposit box.  (Source: http://www.ccac.org.mo/en/)  According to Macau News, in February 2009, the Hong Kong Court of First Instance Madame Justice Carlye Chu Fun-ling granted a judgment as part of the confiscation order sought by Macau's government to recover assets Mr. Ao and his relatives had retained in Hong Kong.  (Source: Macau News, """"Former Macau's secretary of transport and public works Ao Man Long to face second trial next week,"" February 13, 2009.)  Civil actions are private in Hong Kong, and therefore, a copy of the judgment is not publicly available.  However, Hong Kong court decisions in the case initiated by Philip P.H. Wong, Kennedy, Y.H. Wong & Co. (a firm of solicitors) and Philip (Nominees) Limited challenging search warrants carried out by the Hong Kong's Independent Commission Against Corruption gives some insight into the Hong Kong authorities' role in the investigation of Mr. Ao's corporate entities formed through the corporate service provider. (Source: Between Philip P.H. Wong, Kennedy, Y.H. Wong & Co. (a firm of solicitors), Philip (Nominees) Limited and The Commissioner of the Independent Commission Against Corruption, CACV 4/2008 and CACV 272/2008, on appeal from HCAL No. 70 of 2007.)","According to statements by the Commission Against Corruption in Macao SAR, Mr. Ao was tried and convicted by the Macao Court of Final Appeal in two separate trials that ended in January 2008 and April 2009, respectively.  (Sources: Commission Against Corruption in Macao SAR, ""What's New - Detected Cases,"" June 4, 2008 and ""What's New - Detected Cases,"" April 22, 2009.)"
Ao Man Long (United Kingdom),"Commission Against Corruption of Macao SAR, China","Art.16, Art.18, Art.19, Art.20, Art.23",Yes,Actions Initiated by Foreign Jurisdiction,"According to Daniel Li, Deputy Commissioner of the Hong Kong Independent Commission Against Corruption (ICAC), ""This is one of the successful cases of cooperation between ICAC and other jurisdictions when asset recovery was involved.  All assets have been or are currently destined to be returned to Macao.  We could have taken the attitude that it is not our concern and simply carried out the minimal requirements of informing the Macao authorities and then sitting back and giving a minimal response, especially as this specific law germane to asset confiscation was not as such available between the two jurisdictions.  However we took up this challenge seriously; officers from Hong Kong and Macao worked tirelessly and enthusiastically, and, as a result, AO and his corrupt associates were deprived of vast profits from his criminal enterprise."" (Source: Daniel M C Li,  Deputy Commissioner and Head of Operations, Independent Commission Against Corruption, Hong Kong Special Administrative Region, ""Asset Recovery: Is Law Enforcement doing enough?, ""  The 4th IAACA Seminar, Dalian, People’s Republic of China, 25 – 28 June 2012.)",,"In November 2015, the Office of the Secretary for Administration and Justice of Macao SAR, China issued a statement announcing the return from UK of USD44,245,300 in corruption assets in Mr. Ao's case. According to the statement, Ms. Chan Hoi Fan, Secretary for Administration and Justice of the Macao Special Administrative Region, ""indicated that the UNCAC, as an international anti-corruption instrument, has established a very important legal system for fighting corruption at international level. The mechanisms for recovery of property and return of assets, in particular, provided the legal basis on which we are able to establish close cooperation with and to recover the illicit assets from the British Government. In 2010, with the strong support and assistance from the Central Government, the Macao SAR Government conveyed the request to the British Government via diplomatic channels for returning the corruption proceeds in Ao’s case."" (Source:Office of the Secretary for Administration and Justice of Macao SAR, China, ""Most of the Illicit Assets Abroad in the Case of Ao Man Long Successfully Recovered,"" November 3, 2015.)
In April 2007, the Commission Against Corruption in Macao SAR, China had reported on its location and seizure of more than 790 million patacas (USD$95 million) in Mr. Ao's accumulated assets, and stated that ""Until December 2006...the cash and bonds in Britain and other countries were equivalent to 275 million patacas."" (Source: Commission Against Corruption in Macao SAR, ""What's New - Detected Cases,"" April 7, 2007.)    In June 2012, the Deputy Head of Hong Kong SAR, China's Independent Commission Against Corruption stated in a presentation that with regard to Mr. Ao's case, ""During the course of the asset tracing exercise we discovered that substantial funds had been sent to the United Kingdom and used to purchase a property.  This disclosed an offence of money laundering in Hong Kong and therefore we invoked Mutual Legal Assistance between Hong Kong and the UK as a means of freezing any potential sale of this property.  Eventually the property was sold under a court order and the funds are now banked in the UK awaiting repatriation to Macao."" (Source: Daniel M C Li,  Deputy Commissioner and Head of Operations, Independent Commission Against Corruption, Hong Kong Special Administrative Region, ""Asset Recovery: Is Law Enforcement doing enough?, ""  The 4th IAACA Seminar, Dalian, People’s Republic of China, 25 – 28 June 2012.)","According to statements by the Commission Against Corruption in Macao SAR, Mr. Ao was tried and convicted by the Macao Court of Final Appeal in two separate trials that ended in January 2008 and April 2009, respectively.  (Sources: Commission Against Corruption in Macao SAR, ""What's New - Detected Cases,"" June 4, 2008 and ""What's New - Detected Cases,"" April 22, 2009.)"
"Arafat ""koko"" Rahman (Singapore)",Anti-Corruption Commission of Bangladesh,"Art.16, Art.18, Art.23",Yes,Actions Initiated by Foreign Jurisdiction,"Criminal conviction in Bangladesh, US foreign bribery case settlement with Siemens and subsequent non-conviction based asset forfeiture action against proceeds located in Singapore; also, as noted by the law firm Edwards Wildman, ""We understand that Mr Rahman’s conviction appears to have been partially based on the offence of illicit enrichment, the usual method of enforcement through the mutual legal assistance procedure was not available in Singapore. Illicit enrichment is an offence in some countries where a public official gains a significant increase in his assets which he/she cannot reasonably explain in relation to his/her lawful income. This is a crime that is generally not considered punishable in many countries like the UK and Singapore, making enforcement of a confiscation order based on such an offence complicated. Further, Singapore does not have a (non-conviction based) civil forfeiture procedure. Despite these hurdles, Singapore was nevertheless able to return the funds in the Fairhill account by using a legal tool called the ‘disposal inquiry’ mechanism. It would be prudent to add that one suspects that this particular mechanism was only viable because of the specific facts of this case."" (Source:  Antonio Suarez-Martines, ""Civil forfeiture without borders: Bangladesh shows that where there’s political will there’s a way,"" Edwards Wildman, September 9, 2013.) ",,"
	According to the Anti-Corruption Commission of Bangladesh, the U.S. and Bangladesh were engaged in joint efforts to recover Mr. Rahman's alleged bribery proceeds held in Singaporean bank accounts.  (Source: Anti-Corruption Commission of Bangladesh, ""US, Bangladesh joint effort to retrieve Coco 'bribes',"" News Updates - Jan 2009.)  According to the Daily Star, between November 2012 through August 2013, Singapore returned $2,661,070 to Bangladesh in confiscated assets and accrued interest.  (Source:  Daily Star, ""S'Pore returns Tk. 7.4 cr more,"" August 28, 2013.)

	 

	A December 19, 2008 press report, the Anti-corruption Commission of Bangladesh had initiated an inquiry into alleged corruption proceeds held by Mr. Rahman in Singapore, and that Singapore had temporarily frozen S $2,061,093 and U.S. $261,477 in transactions by Mr. Rahman.  (Source: ""Singapore freezes Tk 11.6 cr of Koko: ACC begins probe,"" Priyo.com, December 19, 2008.)   The civil asset forfeiture complaint filed by the United States Government, in U.S. v. All Assets Held in the name of ZASZ Trading & Consulting Pte Ltd., had alleged that ZASZ is a Singapore company created at the direction of Mr. Rahman by Lim Siew Cheng of Henry Noon & Co Management Consultants firm, which also allegedly established Mr. Rahman's account at United Overseas Bank at the instruction of Mr. Rahman in 2004.  (Source:  U.S. v. All Assets Held in the Name of Zasz Trading and Consulting PTE Ltd., et. al, Case No. 1:09-cv-00021-JDB (D.D.C.), Amended Complaint for Forfeiture In Rem, Filed on August 21, 2009.  See also, case entry on asset recovery efforts by the United States.)  Singapore's Today Online reported that Mr. Lim Siew Cheng was fined on January 3, 2011 for his failure to inform authorities that the money he had been dealing with could have been obtained from criminal activity. (Source: Alkhatib, Shaffiq.  ""MD fined over suspect cash in bank accounts."" Today Online, Jan. 4, 2011, accessed at http://www.todayonline.com/Print/Singapore/EDC110104-0000173/MD-fined-ov....)  ","According to the Press Trust of India, on June 23, 2011, Mr. Rahman was sentenced following his conviction in absentia on corruption charges. (Source: Press Trust of India, ""Former Bangladeshi premier Khaleda Zia's younger son jailed for bribery,"" June 23, 2011.) According to the Daily Star, on April 27, 2011, Mr. Rahman's lawyers filed a petition to have his criminal case dismissed, pursuant to a February 9 ruling by the Bangladesh Supreme Court that acts committed before the passage of the Money Laundering Prevention Act of 2009 cannot be tried under it.  The article stated that the Anti-Corruption Commission of Bangladesh would take action after scrutinizing the Supreme Court's decision and the relevant laws.  (Source:  The Daily Star, ""Koko's lawyers for withdrawal of case,"" April 28, 2011, accessed at http://www.thedailystar.net/newDesign/news-details.php?nid=183469.)  The trial had begun in Bangladesh in January 2011; he was being tried in absentia. (Source:  BDCAN, ""Trial of Arafat Rahman begins,"" January 5, 2011)."
"Arafat ""Koko"" Rahman (United States)",Anti-Corruption Commission of Bangladesh,"Art.16, Art.18, Art.23",Yes,Non-Conviction Based Confiscation,"Criminal conviction in Bangladesh, US foreign bribery case settlement with Siemens and subsequent non-conviction based asset forfeiture action against proceeds located in Singapore; also, as noted by the law firm Edwards Wildman, ""We understand that Mr Rahman’s conviction appears to have been partially based on the offence of illicit enrichment, the usual method of enforcement through the mutual legal assistance procedure was not available in Singapore. Illicit enrichment is an offence in some countries where a public official gains a significant increase in his assets which he/she cannot reasonably explain in relation to his/her lawful income. This is a crime that is generally not considered punishable in many countries like the UK and Singapore, making enforcement of a confiscation order based on such an offence complicated. Further, Singapore does not have a (non-conviction based) civil forfeiture procedure. Despite these hurdles, Singapore was nevertheless able to return the funds in the Fairhill account by using a legal tool called the ‘disposal inquiry’ mechanism. It would be prudent to add that one suspects that this particular mechanism was only viable because of the specific facts of this case."" (Source:  Antonio Suarez-Martines, ""Civil forfeiture without borders: Bangladesh shows that where there’s political will there’s a way,"" Edwards Wildman, September 9, 2013.) ",,"
	According to the Anti-Corruption Commission of Bangladesh, the U.S. and Bangladesh were engaged in joint efforts to recover Mr. Rahman's bribery proceeds held in Singaporean bank accounts.  (Source: Anti-Corruption Commission of Bangladesh, ""US, Bangladesh joint effort to retrieve Coco 'bribes',"" News Updates - Jan 2009.)  According to the Daily Star, between November 2012 through August 2013, Singapore returned $2,661,070 to Bangladesh in confiscated assets and accrued interest.  (Source:  Daily Star, ""S'Pore returns Tk. 7.4 cr more,"" August 28, 2013.)

	 

	In January 2009, the US Department of Justice had filed a civil asset forfeiture complaint against assets held in three Singapore bank accounts that the Department of Justice had alleged were bribery proceeds in violation of the Foreign Corrupt Practices Act. (Source: U.S. v. All Assets Held in the Name of Zasz Trading and Consulting PTE Ltd., et. al, Case No. 1:09-cv-00021-JDB (D.D.C.), Amended Complaint for Forfeiture In Rem, filed August 21, 2009.)   On April 7, 2010, the U.S. District Court for the District of Columbia granted a Default Judgment and Judgment of Forfeiture against the following: (1) all assets held in the name of ZASZ Trading and Consulting Pte Ltd., account number 352-015-540-4 (formerly 1093101397) held at the United Overseas Bank, Singapore and any properties traceable thereto; (2) up to and including $762,000 plus interest of the assets held in the name of Zulfikar Ali, account number 0174053746 at Standard Chartered Bank, Singapore and any property traceable thereto; and (3) up to and including $226,249 plus interest of the assets held in the name of Fazel Selim, account number 0174001770 at Standard Chartered Bank, Singapore and any property traceable thereto. (Source: U.S. v. All Assets Held in the Name of Zasz Trading and Consulting PTE Ltd., et. al, Case No. 1:09-cv-00021-JDB (D.D.C.), Memorandum Opinion and Order of Default Judgment and Judgment of Forfeiture, filed April 7, 2010.)  ","According to the Press Trust of India, on June 23, 2011, Mr. Rahman was sentenced following his conviction in absentia on corruption charges. (Source: Press Trust of India, ""Former Bangladeshi premier Khaleda Zia's younger son jailed for bribery,"" June 23, 2011.)  According to the Daily Star, on April 27, 2011, Mr. Rahman's lawyers filed a petition to have his criminal case dismissed, pursuant to a February 9 ruling by the Bangladesh Supreme Court that acts committed before the passage of the Money Laundering Prevention Act of 2009 cannot be tried under it.  The  article stated that the Anti-Corruption Commission of Bangladesh would take action after scrutinizing the Supreme Court's decision and the relevant laws.  (Source:  The Daily Star, ""Koko's lawyers for withdrawal of case,"" April 28, 2011, accessed at http://www.thedailystar.net/newDesign/news-details.php?nid=183469.)  The trial had begun in Bangladesh in January 2011; he was being tried in absentia. (Source:  BDCAN, ""Trial of Arafat Rahman begins,"" January 5, 2011)."
Arnoldo Aleman,Unknown,"Art.17, Art.23",Yes,Non-Conviction Based Confiscation ,"U.S.:  The establishment by the Immigration and Customs Enforcement of the first Politically Exposed Persons (PEPS) Task Force located in Miami, Florida. The PEPS Task Force was established in conjunction with ICE's international division, the U.S. Attorney's Office and the U.S. Department of State. The Task Force's goal is to identify, locate, and seize assets of corrupt politically exposed persons involved in the theft of embezzled government funds. An example that highlights the success of this Task Force is the conviction in Nicaragua of the former Nicaraguan President Arnoldo Aleman. ICE investigators worked with their Nicaraguan counterparts to discover and seize assets located in the United States belonging to Mr. Aleman valued in excess of $5 million dollars. Cooperation by U.S. and Nicaragua. (Source: Statement of Marcy M. Forman, Deputy Assistant Director, Financial Investigations, Immigration and Customs Enforcement, Department of Homeland Security, before House Government Reform Committee Subcommittee on Criminal Justice, Drug Policy and Human Resources, ""Terrorist Financing and Money Laundering Investigations: Who Investigates and How Effective Are They?,"" May 11, 2004.",,"According to the U.S. Government website, America.gov, ""In 2004, U.S. authorities forfeited and transferred approximately $2.7 million of the former president's assets to the government of Nicaragua.""  A 2005 U.S. Department of State report added that the funds were to be used for educational programs, with $100,000 going to support anti-corruption efforts of Nicaraguan Prosecutor General's Office. (Source: U.S. Department of State, Bureau of International Narcotics and Law Enforcement Affairs, International Narcotics Control Strategy Report, March 2005, accessed at http://www.state.gov/p/inl/rls/nrcrpt/2005/vol2/html/42382.htm).  Mr. Aleman had used fradulent shell companies and investment accounts to conceal his illicit proceeds. Assets identified and seized by the Immigration and Customs Enforcement, Miami Foreign Corrupt Investigations Group included seven certificates of deposit valued at $700,000, proceeds of the sale of a helicopter worth $671,000, a cabana at the Key Biscayne Ocean Club valued at $300,000, an investment account in Coral Gables, Fla., valued at $204,099, and a $150,000 deposit for the purchase of a Key Biscayne, Fla., condominium.  (Please note that according to the May 11, 2004 testimony of Ms. Marcy M. Forman, Deputy Assistant Director, Financial Investigations Division of the U.S. Immigration and Customs Enforcement: ""ICE investigators worked with their Nicaraguan counterparts to discover and seize assets located in the United States belonging to Aleman valued in excess of $5 million dollars."" Testimony before the House Committee on Government Reform, Subcommittee on Criminal Justice, Drug Policy and Human Resources.)","According to the University of Pittsburgh School of Law, Jurist Legal Research and News, in January 2009, the Nicaraguan Supreme Court overturned Mr. Aleman's 2003 conviction on money laundering and embezzlement charges. (Source: Andrew Gilmore, ""Nicaragua high court overturns corruption conviction of ex-president,"" Jurist Legal Research and News, January 19, 2009, accessed at http://jurist.org/paperchase/2009/01/nicaragua-high-court-overturns.php.)"
Augusto Pinochet,Unknown,"Art.19, Art.20, Art.23",Yes,Private Civil Action ,"In 1998, Judge Garzon of Spain ordered a worldwide freeze on Mr. Pinochet's assets and ordered Riggs Bank to pay $8 million to a foundation established to assist victims of the Pinochet regime, to settle the Spanish case for violating  the 1998 court order (Source: United States Senate Permanent Subcommittee on Investigations, Money Laundering and Foreign Corruption: Enforcement and Effectiveness of the Patriot Act, Supplemental Staff Report on the U.S. Accounts Used by Augusto Pinochet (March 16, 2005), at footnote 5).  According to the Washington Post (February 26, 2005), Riggs Bank paid $8 million and its owners Joe and Robert Albritton paid  $1 million, for a total of $9 million.",,"According to an attorney familiar with the case, the civil society organization Consejo de Defensa del Estado brought two claims, in Spain and in the U.S., represented by an American attorney based in Miami.  The civil action in Spain was based on the claim that had Riggs Bank complied with Anti-Money Laundering regulations, Chile could have recovered its stolen assets much sooner.  (Source: Researcher telephone interview, November 2010).  In 1998, Judge Garzon of Spain ordered a worldwide freeze on Mr. Pinochet's assets and ordered Riggs Bank to pay $8 million to a foundation established to assist victims of the Pinochet regime, to settle the Spanish case for violating  the 1998 court order (Source: United States Senate Permanent Subcommittee on Investigations, Money Laundering and Foreign Corruption: Enforcement and Effectiveness of the Patriot Act, Supplemental Staff Report on the U.S. Accounts Used by Augusto Pinochet (March 16, 2005), at footnote 5).  According to the Washington Post (February 26, 2005), Riggs Bank paid $8 million and its owners Joe and Robert Albritton paid  $1 million, for a total of $9 million.  After deducting $1 million (mostly for legal expenses), $8 million was reported to have been given to the Salvador Allende Foundation in Santiago, Chile. (Source: Terrence O'Hara, ""Allbrittons, Riggs to Pay Victims of Pinochet,"" Washington Post, February 26, 2005).","A number of criminal proceedings had been instituted against Mr. Pinochet by the Chilean courts and by Spain's Fifth Central Magistrate of the National Court.  (Source: Regina v. Bartle and the Commissioner of Police for the Metropolis and Others Ex Parte Pinochet (on appeal from a Divisional Court of the Queen's Bench Division), Opinions of the Lords of Appeal, November 25, 1998.)"
Augusto Pinochet,Unknown,"Art.19, Art.20, Art.23",Yes,Actions Initiated by Foreign Jurisdiction,"According to the March 2005 report by the U.S. Senate Permanent Subcommittee on Investigations on U.S. accounts used by Mr. Pinochet and his family and associates to conceal their illicit proceeds, at the order of Chilean Judge Sergio Munoz, Pinochet lawyer Oscar Aitken Lavanchy transferred $6.8 million from U.S. accounts (about $5.5 million from G.L.P. accounts; about $1.3 million from Trasker accounts) to a bank in Chile; on August 13, 2004, the bank deposited the funds into an account under control of the Santiago Court of Appeals.  (Source:  U.S. Senate Permanent Subcommittee on Investigations, Supplemental Staff Report on U.S. Accounts Used by Augusto Pinochet (March 16, 2005), at 56 and 62). ",,"According to the March 2005 report by the U.S. Senate Permanent Subcommittee on Investigations on U.S. accounts used by Mr. Pinochet and his family and associates to conceal their illicit proceeds, at the order of Chilean Judge Sergio Munoz, Pinochet lawyer Oscar Aitken Lavanchy transferred $6.8 million from U.S. accounts (about $5.5 million from G.L.P. accounts; about $1.3 million from Trasker accounts) to a bank in Chile; on August 13, 2004, the bank deposited the funds into an account under control of the Santiago Court of Appeals.  (Source:  U.S. Senate Permanent Subcommittee on Investigations, Supplemental Staff Report on U.S. Accounts Used by Augusto Pinochet (March 16, 2005), at 56 and 62).","A number of criminal proceedings had been instituted against Mr. Pinochet by the Chilean courts and by Spain's Fifth Central Magistrate of the National Court.  (Source: Regina v. Bartle and the Commissioner of Police for the Metropolis and Others Ex Parte Pinochet (on appeal from a Divisional Court of the Queen's Bench Division), Opinions of the Lords of Appeal, November 25, 1998.)"
BAE Systems / Tanzania Radar Defence System Case,Unknown,Art.16,Yes,Criminal Prosecution; Criminal Restitution,"Settlement agreement by the Serious Fraud Office and BAE included provision on ex gratia payment to Tanzania; Memorandum of Understanding by Serious Fraud Office, the Government of Tanzania, BAE Systems and the Department for International Development (DFID)  (Source: UK Serious Fraud Office Press Release, ""BAE Systems will pay towards educating children in Tanzania after signing an agreement brokered by the Serious Fraud Office,"" March 15, 2012.)",,"As part of the February 2010 settlement agreement by the Serious Fraud Office (SFO) and BAE Systems Plc, BAE agreed to pay GBP 30 million in ex gratia payment for the benefit of the people of Tanzania in a manner to be agreed between the SFO and the Company, less any financial orders imposed by the Court.  In December 2010, the Southwark Crown Court approved the settlement, and fined the company GBP 500,000 and ordered it to pay GBP 225,000 in costs to the Serious Fraud Office. (Sources: R v. BAE Systems PLC, Case No. S2010565, Southwark Crown Court, December 21, 2010; Serious Fraud Office Press Release, ""BAE fined in Tanzania defense contract case,"" December 21, 2010.)  The company had agreed to pay the legal costs separate from the GBP 30 million settlement amount.  In March 2012, the SFO announced that a newly agreed upon Memorandum of Understanding will enable the GBP 29.5 million plus accrued interest [amount unspecified] to be spent towards education projects in Tanzania.  (Source: UK Serious Fraud Office Press Release, ""BAE Systems will pay towards educating children in Tanzania after signing an agreement brokered by the Serious Fraud Office,"" March 15, 2012.)   For greater discussion of the case, see UK Parliament, House of Commons, The International Development Committee, ""Financial Crime and Development, Eleventh Report of Session 2010–12,"" Volume I (30 November 2011) and Transparency International UK, ""Deterring and Punishing Corporate Bribery:  An Evaluation of UK Corporate Plea Agreements and Civil Recovery in Overseas Bribery Cases,"" (June 2012)","According to a press release by the UK Serious Fraud Office, in December 2010, the Southwark Crown Court approved the February 2010 settlement agreement by the Serious Fraud Office (SFO) and BAE Systems Plc in which the company agreed to plead guilty to one count of breaching its duty to keep accounting records contrary to section 221 of the Companies Act 1985.  (Source: Serious Fraud Office Press Release, ""BAE fined in Tanzania defense contract case,"" December 21, 2010.)"
